No.,University,URL
1,Hong Kong Shue Yan University,https://www.topuniversities.com/universities/hong-kong-shue-yan-university
2,Norwegian University of Life Sciences,https://www.topuniversities.com/universities/norwegian-university-life-sciences
3,Ecole Nationale Supérieure d'Architecture de Paris-La Villette,https://www.topuniversities.com/universities/ecole-nationale-superieure-darchitecture-de-paris-la-villette
4,Universidade Federal da Paraíba,https://www.topuniversities.com/universities/universidade-federal-da-paraba
5,Universidad Argentina John F. Kennedy,https://www.topuniversities.com/universities/universidad-argentina-john-f-kennedy
6,Cornell University,https://www.topuniversities.com/universities/cornell-university
7,Wageningen University & Research,https://www.topuniversities.com/universities/wageningen-university-research
8,Universidad de El Salvador - UES,https://www.topuniversities.com/universities/universidad-de-el-salvador-ues
9,Academy of Sciences of the Czech Republic,https://www.topuniversities.com/universities/academy-sciences-czech-republic
10,"Government College University, Faisalabad",https://www.topuniversities.com/universities/government-college-university-faisalabad
1,Amsterdam Business School,https://www.topuniversities.com/universities/university-amsterdam/amsterdam-business-school
2,School of Business and Management,https://www.topuniversities.com/universities/school-business-management
3,Ataturk University,https://www.topuniversities.com/universities/ataturk-university
4,Universitas Amikom Yogyakarta,https://www.topuniversities.com/universities/universitas-amikom-yogyakarta
5,Ubonratchathani Rajabhat University ,https://www.topuniversities.com/universities/ubonratchathani-rajabhat-university
6,Moscow State Conservatory P. I. Tchaikovsky,https://www.topuniversities.com/universities/moscow-state-conservatory-p-i-tchaikovsky
7,Swarthmore College,https://www.topuniversities.com/universities/swarthmore-college
8,Universidad Católica de El Salvador,https://www.topuniversities.com/universities/universidad-catolica-de-el-salvador
9,SUNY Oswego,https://www.topuniversities.com/universities/suny-oswego
10,Fo Guang University (Buddha's Light University),https://www.topuniversities.com/universities/fo-guang-university-buddhas-light-university
1,Archimedes Foundation / Study in Estonia,https://www.topuniversities.com/universities/archimedes-foundation-study-estonia
2,National Aviation University,https://www.topuniversities.com/universities/national-aviation-university
3,Medizinische Hochschule Hannover,https://www.topuniversities.com/universities/medizinische-hochschule-hannover
4,Parsons School of Design at The New School,https://www.topuniversities.com/universities/parsons-school-design-new-school
5,Volga state academy of water transport,https://www.topuniversities.com/universities/volga-state-academy-water-transport
6,Hamdan Bin Mohammed Smart University (HBMSU),https://www.topuniversities.com/universities/hamdan-bin-mohammed-smart-university-hbmsu
7,Voronezh State Technical University,https://www.topuniversities.com/universities/voronezh-state-technical-university
8,École Centrale de Lille,https://www.topuniversities.com/universities/ecole-centrale-de-lille
9,Nanhua University,https://www.topuniversities.com/universities/nanhua-university
10,SGH Warsaw School of Economics,https://www.topuniversities.com/universities/sgh-warsaw-school-economics
1,University of Palermo,https://www.topuniversities.com/universities/university-palermo
2,"Theatre Academy, University of the Arts Helsinki",https://www.topuniversities.com/universities/theatre-academy-university-arts-helsinki
3,Dalhousie University Business School,https://www.topuniversities.com/universities/dalhousie-university/dalhousie-university-business-school
4,Moscow State University of Food Production,https://www.topuniversities.com/universities/moscow-state-university-food-production
5,China University of Geosciences,https://www.topuniversities.com/universities/china-university-geosciences
6,Tokyo University of Agriculture and Technology ,https://www.topuniversities.com/universities/tokyo-university-agriculture-technology
7,Lahore Garrison University,https://www.topuniversities.com/universities/lahore-garrison-university
8,University of Miami,https://www.topuniversities.com/universities/university-miami
9,University of Silesia in Katowice,https://www.topuniversities.com/universities/university-silesia-katowice
10,Universidad de Salamanca,https://www.topuniversities.com/universities/universidad-de-salamanca
1,EENI The Global Business School,https://www.topuniversities.com/universities/eeni-global-business-school
2,STMIK -STIE Mikroskil,https://www.topuniversities.com/universities/stmik-stie-mikroskil
3,Belarusian State Academy of Music (BGAM),https://www.topuniversities.com/universities/belarusian-state-academy-music-bgam
4,Industrial University of Tyumen (IUT),https://www.topuniversities.com/universities/industrial-university-tyumen-iut
5,Notre Dame of Maryland University,https://www.topuniversities.com/universities/notre-dame-maryland-university
6,JCA London Fashion Academy,https://www.topuniversities.com/universities/jca-london-fashion-academy
7,Cambridge Judge Business School,https://www.topuniversities.com/universities/university-cambridge/cambridge-judge-business-school
8,EURECOM,https://www.topuniversities.com/universities/eurecom
9,Telecom Paris,https://www.topuniversities.com/universities/telecom-paris
10,Interregional Open Social Institute,https://www.topuniversities.com/universities/interregional-open-social-institute
1,Bina Nusantara University (BINUS),https://www.topuniversities.com/universities/bina-nusantara-university-binus
2,University of Lisbon ,https://www.topuniversities.com/universities/university-lisbon
3,Nanzan University,https://www.topuniversities.com/universities/nanzan-university
4,"California Polytechnic State University, Orfalea College of Business",https://www.topuniversities.com/universities/california-polytechnic-state-university/california-polytechnic-state-university-orfalea-college-business
5,Butler University,https://www.topuniversities.com/universities/butler-university
6,Universidade de Santa Cruz do Sul,https://www.topuniversities.com/universities/universidade-de-santa-cruz-do-sul
7,ISAM International School of Agri Management,https://www.topuniversities.com/universities/isam-international-school-agri-management
8,Prestige Institute of Management and Research,https://www.topuniversities.com/universities/prestige-institute-management-research
9,Center for American Education,https://www.topuniversities.com/universities/center-american-education
10,Texas A&M University,https://www.topuniversities.com/universities/texas-am-university
1,Jerusalem College of Technology ,https://www.topuniversities.com/universities/jerusalem-college-technology
2,Conservatoire national supérieur d’art dramatique de Paris (CNSAD),https://www.topuniversities.com/universities/conservatoire-national-superieur-dart-dramatique-de-paris-cnsad
3,Saint Petersburg Electrotechnical University ETU-LETI,https://www.topuniversities.com/universities/saint-petersburg-electrotechnical-university-etu-leti
4,Hochschule für Künste Bremen,https://www.topuniversities.com/universities/hochschule-fur-kunste-bremen
5,Marist College,https://www.topuniversities.com/universities/marist-college
6,Universidad Rey Juan Carlos,https://www.topuniversities.com/universities/universidad-rey-juan-carlos
7,"IAE Business School, Universidad Austral",https://www.topuniversities.com/universities/iae-business-school-universidad-austral
8,Academia Idiomas Smart,https://www.topuniversities.com/universities/academia-idiomas-smart
9,Södertörns University College,https://www.topuniversities.com/universities/sodertorns-university-college
10,Perth Graduate School of Business,https://www.topuniversities.com/universities/edith-cowan-university/perth-graduate-school-business
1,Conservatoire national supérieur d’art dramatique de Paris (CNSAD),https://www.topuniversities.com/universities/conservatoire-national-superieur-dart-dramatique-de-paris-cnsad
2,Isra University,https://www.topuniversities.com/universities/isra-university
3,Pohang University of Science And Technology (POSTECH),https://www.topuniversities.com/universities/pohang-university-science-technology-postech
4,Assumption College,https://www.topuniversities.com/universities/assumption-college
5,Creighton University,https://www.topuniversities.com/universities/creighton-university
6,University of Nottingham Malaysia,https://www.topuniversities.com/universities/university-nottingham-malaysia
7,"Vietnam National University, Hanoi ",https://www.topuniversities.com/universities/vietnam-national-university-hanoi
8,Semyung University,https://www.topuniversities.com/universities/semyung-university
9,Czech College ,https://www.topuniversities.com/universities/czech-college
10,BPP University,https://www.topuniversities.com/universities/bpp-university
1,Universidad de La Serena,https://www.topuniversities.com/universities/universidad-de-la-serena
2,Siberian State University of Telecommunications and Information Sciences,https://www.topuniversities.com/universities/siberian-state-university-telecommunications-information-sciences
3,Zhengzhou University,https://www.topuniversities.com/universities/zhengzhou-university
4,Princeton University,https://www.topuniversities.com/universities/princeton-university
5,Liverpool Hope University,https://www.topuniversities.com/universities/liverpool-hope-university
6,Tajik National University,https://www.topuniversities.com/universities/tajik-national-university
7,Universidad Arturo Prat ,https://www.topuniversities.com/universities/universidad-arturo-prat
8,University of Qom,https://www.topuniversities.com/universities/university-qom
9,The London Film School,https://www.topuniversities.com/universities/london-film-school
10,Ho Chi Minh City University of Technology (HUTECH),https://www.topuniversities.com/universities/ho-chi-minh-city-university-technology-hutech
1,Daejeon University ,https://www.topuniversities.com/universities/daejeon-university
2,UNIVERSITAS MEDAN AREA,https://www.topuniversities.com/universities/universitas-medan-area
3,Bryansk State Technical University (BSTU),https://www.topuniversities.com/universities/bryansk-state-technical-university-bstu
4,Marymount Manhattan College,https://www.topuniversities.com/universities/marymount-manhattan-college
5,Fundació Politècnica de Catalunya,https://www.topuniversities.com/universities/fundacio-politecnica-de-catalunya
6,Jerash Private University,https://www.topuniversities.com/universities/jerash-private-university
7,Gorontalo State University (GSU),https://www.topuniversities.com/universities/gorontalo-state-university-gsu
8,Villanova School of Business,https://www.topuniversities.com/universities/villanova-school-business
9,Ilia State University,https://www.topuniversities.com/universities/ilia-state-university
10,Ponce School of Medicine,https://www.topuniversities.com/universities/ponce-school-medicine
1,Universidad CES,https://www.topuniversities.com/universities/universidad-ces
